batch_size,num_hist,frameskip,T,num_episodes,num_workers,slices,train_samples,steps,training_ok,rollout_ok,vram_train_mib,vram_train_pct,vram_val_peak_mib,vram_val_peak_pct,val_overhead_pct,vram_ok,score,attention_seq_len,attention_mib
16,5,4,22,1000,2,0,0,0,False,False,46434.7,189.0,52738.2,214.7,13.6,False,-1.0,980,15493.3
32,5,4,22,500,2,0,0,0,False,False,90310.7,367.7,102079.9,415.6,13.0,False,-1.0,980,30986.5
32,5,4,22,1000,2,0,0,0,False,False,90310.7,367.7,102079.9,415.6,13.0,False,-1.0,980,30986.5
4,5,5,22,500,2,0,0,0,False,False,13527.8,55.1,15730.3,64.0,16.3,True,-1.0,980,3873.3
4,5,5,22,1000,2,0,0,0,False,False,13527.8,55.1,15730.3,64.0,16.3,True,-1.0,980,3873.3
8,5,5,22,500,2,0,0,0,False,False,24496.7,99.7,28065.7,114.3,14.6,False,-1.0,980,7746.6
8,5,5,22,1000,2,0,0,0,False,False,24496.7,99.7,28065.7,114.3,14.6,False,-1.0,980,7746.6
16,5,5,22,500,2,0,0,0,False,False,46434.7,189.0,52736.6,214.7,13.6,False,-1.0,980,15493.3
16,5,5,22,1000,2,0,0,0,False,False,46434.7,189.0,52736.6,214.7,13.6,False,-1.0,980,15493.3
32,5,5,22,500,2,0,0,0,False,False,90310.7,367.7,102078.3,415.6,13.0,False,-1.0,980,30986.5
32,5,5,22,1000,2,0,0,0,False,False,90310.7,367.7,102078.3,415.6,13.0,False,-1.0,980,30986.5
4,6,1,22,500,2,16,7200,1800,True,True,16466.8,67.0,19257.0,78.4,16.9,True,6000.06,1176,5577.6
4,6,1,22,1000,2,16,14400,3600,True,True,16466.8,67.0,19257.0,78.4,16.9,True,6000.03,1176,5577.6
8,6,1,22,500,2,16,7200,900,True,True,30374.8,123.7,34892.5,142.0,14.9,False,-1.0,1176,11155.1
8,6,1,22,1000,2,16,14400,1800,True,True,30374.8,123.7,34892.5,142.0,14.9,False,-1.0,1176,11155.1
16,6,1,22,500,2,16,7200,450,True,True,58190.8,236.9,66163.5,269.4,13.7,False,-1.0,1176,22310.3
16,6,1,22,1000,2,16,14400,900,True,True,58190.8,236.9,66163.5,269.4,13.7,False,-1.0,1176,22310.3
32,6,1,22,500,2,16,7200,225,True,True,113822.8,463.4,128705.4,524.0,13.1,False,-1.0,1176,44620.6
32,6,1,22,1000,2,16,14400,450,True,True,113822.8,463.4,128705.4,524.0,13.1,False,-1.0,1176,44620.6
4,6,2,22,500,2,9,4050,1013,True,True,16466.8,67.0,19239.1,78.3,16.8,True,6000.1,1176,5577.6
4,6,2,22,1000,2,9,8100,2025,True,True,16466.8,67.0,19239.1,78.3,16.8,True,6000.05,1176,5577.6
8,6,2,22,500,2,9,4050,507,True,True,30374.8,123.7,34874.6,142.0,14.8,False,-1.0,1176,11155.1
8,6,2,22,1000,2,9,8100,1013,True,True,30374.8,123.7,34874.6,142.0,14.8,False,-1.0,1176,11155.1
16,6,2,22,500,2,9,4050,254,True,True,58190.8,236.9,66145.6,269.3,13.7,False,-1.0,1176,22310.3
16,6,2,22,1000,2,9,8100,507,True,True,58190.8,236.9,66145.6,269.3,13.7,False,-1.0,1176,22310.3
32,6,2,22,500,2,9,4050,127,True,True,113822.8,463.4,128687.5,523.9,13.1,False,-1.0,1176,44620.6
32,6,2,22,1000,2,9,8100,254,True,True,113822.8,463.4,128687.5,523.9,13.1,False,-1.0,1176,44620.6
4,6,3,22,500,2,2,900,225,True,False,16466.8,67.0,19234.3,78.3,16.8,True,-1.0,1176,5577.6
4,6,3,22,1000,2,2,1800,450,True,False,16466.8,67.0,19234.3,78.3,16.8,True,-1.0,1176,5577.6
8,6,3,22,500,2,2,900,113,True,False,30374.8,123.7,34869.7,142.0,14.8,False,-1.0,1176,11155.1
8,6,3,22,1000,2,2,1800,225,True,False,30374.8,123.7,34869.7,142.0,14.8,False,-1.0,1176,11155.1
16,6,3,22,500,2,2,900,57,True,False,58190.8,236.9,66140.7,269.3,13.7,False,-1.0,1176,22310.3
16,6,3,22,1000,2,2,1800,113,True,False,58190.8,236.9,66140.7,269.3,13.7,False,-1.0,1176,22310.3
